alpha,budget,connect,BDI,species,ObjVal
numeric,numeric,numeric,numeric,numeric,numeric
0.88,60,104,14.45379529,124,121.6
0.91,60,96,15.9606307,125,122.39
0.94,60,96,16.23549902,125,123.26
0.97,60,96,15.9802763,125,124.13
0.01,65,124,15.55320176,118,123.94
0.04,65,124,15.55320176,118,123.76
0.07,65,124,15.55320176,118,123.58
0.1,65,124,15.27803934,118,123.4
0.13,65,124,15.55320176,118,123.22
0.16,65,124,15.55320176,118,123.04
0.19,65,124,15.34373745,118,122.86
0.22,65,124,15.0335355,118,122.68
0.25,65,124,15.49919018,118,122.5
0.28,65,124,14.86288832,118,122.32
0.31,65,124,15.55320176,118,122.14
0.34,65,124,15.34373745,118,121.96
0.37,65,124,15.31507674,118,121.78
0.4,65,122,15.14836513,121,121.6
0.43,65,122,15.14836513,121,121.57
0.46,65,122,15.44592656,121,121.54
0.49,65,122,15.0299498,121,121.51
0.52,65,122,15.44592656,121,121.48
0.55,65,122,15.0299498,121,121.45
0.58,65,122,15.0299498,121,121.42
0.61,65,122,15.21406324,121,121.39
0.64,65,122,15.0299498,121,121.36
0.67,65,118,16.01910661,123,121.35
0.7,65,118,16.01668401,123,121.5
0.73,65,118,16.40485541,123,121.65
0.76,65,118,16.45482874,123,121.8
0.79,65,118,16.21856476,123,121.95
0.82,65,114,16.27934792,124,122.2
0.85,65,114,16.1186593,124,122.5
0.88,65,108,16.73793035,125,122.96
0.91,65,108,16.89186621,125,123.47
0.94,65,108,16.83460359,125,123.98
0.97,65,108,16.47486499,125,124.49
0.01,70,132,16.20886517,121,131.89
0.04,70,132,16.20886517,121,131.56
0.07,70,132,16.20886517,121,131.23
0.1,70,132,16.10910647,121,130.9
0.13,70,132,16.10910647,121,130.57
0.16,70,132,16.05341244,121,130.24
0.19,70,132,16.05341244,121,129.91
0.22,70,132,16.20886517,121,129.58
0.25,70,132,16.20886517,121,129.25
0.28,70,132,16.10910647,121,128.92
0.31,70,132,16.10910647,121,128.59
0.34,70,132,15.98252396,121,128.26
0.37,70,132,16.20886517,121,127.93
0.4,70,132,16.05341244,121,127.6
0.43,70,132,16.10910647,121,127.27
0.46,70,132,16.20886517,121,126.94
0.49,70,132,16.20886517,121,126.61
0.52,70,132,16.20886517,121,126.28
0.55,70,132,16.10910647,121,125.95
0.58,70,132,16.05341244,121,125.62
0.61,70,132,16.10910647,121,125.29
0.64,70,132,16.20886517,121,124.96
0.67,70,128,16.93367062,123,124.65
0.7,70,128,16.93446387,123,124.5
0.73,70,128,16.43964654,123,124.35
0.76,70,128,16.88024124,123,124.2
0.79,70,128,17.04841247,123,124.05
0.82,70,124,16.94206299,124,124
0.85,70,124,16.74125075,124,124
0.88,70,118,17.42840179,125,124.16
0.91,70,118,18.21237112,125,124.37
0.94,70,118,17.3885297,125,124.58
0.97,70,118,17.46053203,125,124.79
0.01,75,142,17.45522192,120,141.78
0.04,75,142,17.61067465,120,141.12
0.07,75,142,17.28494772,120,140.46
0.1,75,142,17.38433344,120,139.8
0.13,75,142,17.61067465,120,139.14
0.16,75,142,17.51091595,120,138.48
0.19,75,142,17.61067465,120,137.82
0.22,75,142,17.61067465,120,137.16
0.25,75,142,17.38433344,120,136.5
0.28,75,142,17.45522192,120,135.84
0.31,75,142,17.51091595,120,135.18
0.34,75,142,17.61067465,120,134.52
0.37,75,142,17.51091595,120,133.86
0.4,75,142,17.28494772,120,133.2
0.43,75,142,17.51091595,120,132.54
0.46,75,142,17.28494772,120,131.88
0.49,75,142,17.51091595,120,131.22
0.52,75,140,17.43381884,122,130.64
0.55,75,140,17.09990921,122,130.1
0.58,75,140,16.56484887,122,129.56
0.61,75,140,16.56484887,122,129.02
0.64,75,140,17.44224603,122,128.48
0.67,75,138,17.80909066,123,127.95
0.7,75,138,17.61191782,123,127.5
0.73,75,138,18.21361482,123,127.05
0.76,75,138,17.99516111,123,126.6
0.79,75,138,17.21560864,123,126.15
0.82,75,138,17.79461914,123,125.7
0.85,75,128,18.59953595,125,125.45
0.88,75,128,18.76376725,125,125.36
0.91,75,128,18.67427395,125,125.27
0.94,75,128,18.60837015,125,125.18
0.97,75,128,18.87508619,125,125.09
0.01,80,150,19.00470678,121,149.71
0.04,80,150,18.86926783,121,148.84
